,0,1,2,3,4,5,6,7,8,9
0,2217,1183,1185,1960,1958,443,1954,1953,439,1948
1,291,363,360,2219,2218,2217,2522,1108,352,2209
2,1843,514,515,516,1797,1796,1795,1793,512,1792
3,1335,513,514,515,516,1448,1447,1445,1430,1428
4,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
5,514,2032,2033,676,378,1705,2038,1700,373,372
6,1487,2336,942,1494,1792,1491,1108,945,1609,1173
7,2455,1933,2397,1056,666,352,1332,2228,2219,347
8,1335,1931,1930,1927,1925,827,1921,1920,1917,1916
9,485,1885,412,414,415,416,1883,1887,419,421
10,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
11,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
12,1963,1862,1861,431,791,433,434,427,1857,439
13,2670,635,1862,1861,1857,1853,642,643,1849,646
14,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
15,1335,2117,2118,1026,1025,1024,2122,2123,2116,1021
16,1335,651,1948,659,1939,661,1937,664,1933,666
17,1880,1465,2108,1461,1458,489,493,495,496,1448
18,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
19,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
20,1335,635,1623,1621,1619,1617,1616,1614,642,643
21,2454,2420,1182,1176,1173,1170,539,2114,541,2115
22,602,1874,676,2233,1867,1866,1862,317,1861,1857
23,0,1484,1483,1482,1481,1474,1473,1468,1466,1465
24,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
25,556,324,2497,1466,2496,1465,692,317,693,1462
26,0,1774,1775,1776,1777,1778,1779,1781,1773,1782
27,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
28,643,1840,1837,770,1825,774,1824,1821,777,778
29,1788,1802,1332,1801,2209,1797,295,1011,292,489
30,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
31,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
32,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
33,2670,860,1815,856,1818,1819,852,851,1821,1824
34,1796,363,362,1963,360,1494,1491,703,1487,1483
35,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
36,329,2209,405,407,408,916,412,1757,915,415
37,1948,866,867,373,372,371,369,875,1920,2198
38,504,572,576,578,2134,585,590,592,1720,1718
39,2192,617,2204,627,628,630,2198,2182,643,1427
40,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
41,1880,1910,489,1908,1904,493,495,487,496,500
42,907,643,1362,1853,363,362,1857,360,1861,1862
43,405,1583,1578,1574,1573,458,459,451,460,464
44,664,1931,292,2374,1930,1927,1920,1911,2384,1910
45,1335,1499,1498,1497,2426,2427,1494,1493,1492,1491
46,1718,382,1797,1207,676,1801,1802,1192,373,372
47,0,1746,1747,1748,1749,1750,1751,1752,1745,1753
48,1335,698,1876,1875,401,1874,1868,397,404,1395
49,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
50,2020,643,2006,646,2004,1999,1997,1996,659,661
51,803,820,2161,834,837,846,850,2134,861,866
52,2167,1973,2243,2244,713,1203,308,1633,716,1207
53,675,352,804,350,995,1908,1765,346,345,1757
54,837,1573,1571,1996,1997,1999,352,1567,1564,1534
55,973,397,1893,1895,1307,1896,1898,1294,1293,382
56,1091,1796,1795,500,1953,1142,1792,1789,2365,1788
57,1362,1789,1284,373,372,371,1788,369,2167,1774
58,643,1963,612,611,608,606,603,602,600,597
59,716,515,516,1192,1191,523,1693,514,527,1185
60,1977,556,560,562,1281,565,2085,554,2084,2074
61,1317,1718,1717,1716,1713,966,2020,1709,973,597
62,1953,627,1977,1984,612,611,608,606,603,602
63,643,628,627,1996,1997,1999,2004,612,611,608
64,1875,425,423,1307,1874,419,1876,416,415,414
65,1876,363,362,2033,360,2038,2041,352,2051,2052
66,1340,528,1574,2055,2052,2051,2048,539,527,1108
67,1933,308,1801,1797,1796,643,1795,646,1792,1789
68,565,1908,1910,516,515,514,512,1911,1226,1042
69,966,1494,527,528,1491,295,1487,292,1483,1482
70,443,1885,603,1888,605,606,1893,1895,1896,608
71,1445,1893,1888,1080,915,295,1885,916,292,1883
72,1802,382,1466,1977,373,372,371,1984,369,1465
73,1716,466,467,468,1693,1689,1682,476,478,1652
74,1083,1250,1931,507,1933,504,1939,500,1248,496
75,1335,693,2074,698,1438,701,702,703,2067,2064
76,846,397,1689,395,933,1074,1693,1534,1080,2228
77,2061,1868,369,1867,1866,2302,1862,363,362,1861
78,545,1805,673,674,1803,676,1802,678,679,1801
79,554,1920,552,1911,556,1910,1908,539,560,565
80,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
81,983,1108,2290,2553,352,2287,1142,2277,345,1156
82,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
83,2167,373,372,371,369,2055,988,989,2052,363
84,1705,1445,1458,419,1462,1465,416,1466,414,1482
85,1468,407,964,1883,2287,412,1885,406,414,416
86,1369,1370,539,1805,1366,1806,1362,552,1810,554
87,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
88,1380,2287,1196,481,482,483,1293,485,1861,478
89,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
90,804,514,1483,329,515,1482,1466,1465,516,1462
91,0,1546,1542,1538,1537,1536,1535,1534,1533,1532
92,1483,1883,1885,1888,1893,1895,382,1896,1898,1267
93,1335,1176,1175,1174,1173,1170,1165,1156,1154,1144
94,1335,1384,1383,1382,1381,1380,1379,1378,1371,1370
95,1888,1880,588,589,590,1342,592,1343,1879,1345
96,1991,1876,308,2217,1874,2218,1867,1866,2219,1862
97,2074,666,2085,676,2084,1381,2067,692,693,2064
98,1335,1536,1535,1534,1533,1532,1531,1528,1525,1520
99,1801,489,1810,1806,493,495,496,1815,1805,1802
100,1226,1880,1876,2233,1874,676,1867,1866,1862,1861
101,416,1069,1757,382,1765,1061,1770,1060,374,373
102,837,945,2243,1984,942,2244,1584,1693,308,1583
103,1335,894,895,1917,1911,1910,902,1908,1906,907
104,516,1953,539,1948,1939,1293,1933,1954,1931,552
105,912,1752,1753,927,1757,572,933,936,1920,308
106,949,2084,397,2085,1257,1042,966,2123,1774,1770
107,2466,434,433,432,1281,427,425,2436,1284,1288
108,464,1720,1718,493,1717,495,496,497,1716,1721
109,395,392,1340,1342,1345,2134,2437,382,2515,2436
110,1573,496,497,1908,500,1910,503,504,2336,495
111,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
112,1931,1056,363,360,1293,1825,1824,1821,2217,352
113,1948,578,585,590,592,1984,597,576,600,603
114,608,992,1993,1991,1463,572,989,574,1987,576
115,539,308,2290,1491,1487,1307,1874,820,1867,1483
116,1797,572,565,562,560,556,1533,554,553,552
117,2217,1534,846,1533,376,374,373,372,371,1506
118,628,590,592,1999,597,600,602,585,603,606
119,1366,1735,993,443,1004,439,1720,1011,1718,434
120,554,2287,565,1370,1369,572,576,1366,578,582
121,1317,1797,360,1796,1795,820,1792,1789,1788,1774
122,1226,1843,1825,336,2217,2218,1824,332,2219,329
123,1876,2007,373,372,371,369,1583,713,716,2020
124,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
125,834,2374,664,1639,666,2085,1142,2084,317,1637
126,1332,326,597,600,1438,602,603,1445,2021,2020
127,1583,784,1888,1188,395,1185,397,945,1893,2448
128,837,1313,527,528,1310,1895,531,1307,1896,523
129,1843,1789,1788,1885,308,2436,2253,1380,1156,1381
130,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
131,2021,2470,2469,1564,2466,687,2135,691,692,693
132,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
133,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
134,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
135,1381,539,552,554,556,557,560,1567,562,572
136,1272,466,467,468,1765,1288,471,1091,1092,1770
137,1645,1577,489,1574,1573,1571,493,495,496,487
138,2055,1953,1386,1250,295,692,693,292,291,2253
139,966,861,866,2228,867,1792,1789,1788,875,2233
140,0,1494,1924,861,2216,1923,2217,1920,855,1498
141,666,709,711,713,1949,716,1948,1939,1933,1932
142,1499,443,1281,445,446,1267,1257,1250,1284,1248
143,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
144,565,576,572,1996,1997,1999,2004,562,560,2006
145,1933,397,983,1482,666,988,989,1880,1473,993
146,511,427,429,1705,431,2085,434,425,2084,1345
147,664,1920,308,2253,1911,1910,304,1908,1904,1898
148,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
149,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
150,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
151,2004,427,910,425,912,915,916,421,419,416
152,0,1754,1755,1757,1758,1759,1760,1761,1753,1762
153,1534,1774,1770,1765,352,693,1757,1753,1752,345
154,592,1893,1888,1885,1883,627,628,1880,244,243
155,0,1611,1609,1608,1607,1606,1605,1604,1603,1600
156,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
157,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
158,1824,397,1705,1709,1069,1713,1716,1717,1718,1720
159,902,1939,945,875,1948,382,1953,1954,1958,373
160,1399,1639,1825,927,2277,924,336,2056,2055,2052
161,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
162,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
163,1288,421,2055,419,1639,1637,416,415,414,861
164,1810,2055,1752,2056,332,2060,2061,1750,1743,327
165,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
166,515,628,2233,2228,643,646,2436,2219,2218,313
167,1399,726,1980,728,729,1977,1976,1233,1973,1972
168,1712,1074,980,1073,474,1757,478,2088,468,1071
169,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
170,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
171,0,1775,1776,1777,1778,1779,1780,1781,1774,1782
172,526,664,665,666,1713,1712,1710,1709,1705,1698
173,0,1768,1769,1770,1771,1772,1773,1774,1767,1775
174,1789,1757,1765,1770,1774,1788,468,467,466,464
175,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
176,1335,1696,1693,1689,1686,1685,1682,1669,1661,1653
177,657,1793,401,804,2192,404,405,806,407,1796
178,666,627,628,1984,643,1977,646,1973,1963,1960
179,679,1996,1993,1991,1989,1984,1977,1973,1963,1960
180,419,496,497,1657,500,1652,1650,504,1639,1634
181,1960,1004,2074,504,1567,500,2084,2085,496,495
182,973,2197,1705,527,528,1016,1162,531,1708,1709
183,1340,371,2219,369,1991,2224,363,362,784,360
184,392,496,497,1825,500,1042,1037,504,1033,495
185,496,1843,493,495,500,1825,504,489,1824,1815
186,627,439,915,916,434,427,924,425,2167,421
187,868,1113,1112,1111,1110,1109,1108,2117,2119,1103
188,1142,1895,1893,1888,552,554,556,557,1896,560
189,631,590,1948,592,1141,1939,597,1933,599,600
190,1894,1753,705,1752,708,709,710,711,713,1750
191,1207,2003,973,405,407,1633,1999,401,1007,412
192,407,1682,427,750,1652,431,1650,425,433,983
193,1335,1867,725,1866,1862,1861,1857,1856,1854,1853
194,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
195,421,687,405,912,1973,401,1977,399,1709,397
196,0,1481,1480,1478,1475,1474,1473,1468,1467,1466
197,1805,585,1789,1788,590,592,1786,597,1774,599
198,1973,482,1689,1693,936,1698,489,933,942,1700
199,0,1776,1777,1778,1779,1780,1781,1782,1775,1783
200,1257,528,812,1996,1997,1999,867,1705,282,2004
201,1797,414,2204,407,1613,405,1910,1612,401,397
202,1430,909,1876,324,1210,1292,2167,590,592,1293
203,2088,601,602,603,605,606,607,608,2189,611
