,Country,City,Lat,Lon,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
0,Afghanistan,Herat,34.34,62.1899986,1209,2624,1201,2210,599,1219,1055,962,1754,1232
1,Afghanistan,Kabul,34.5166667,69.1833344,233,1744,1742,1628,2607,2310,1746,885,2362,2015
2,Afghanistan,Jalalabad,34.42,70.4499969,1062,2637,995,1754,1,1193,1072,1099,991,1211
3,Afghanistan,Kandahar,31.61,65.6999969,2000,1741,1220,1037,1980,929,2628,1133,1111,1002
4,Afghanistan,Kunduz,36.72,68.86000059999999,0,1776,1777,1778,1779,1780,1781,1782,1783,1784
5,Afghanistan,Mazar-i-Sharif,36.7069444,67.1122208,1192,2235,1204,2207,1199,1551,2000,1169,1222,710
6,Albania,Tirana,41.3275,19.818889600000002,233,735,736,1530,52,2017,2562,2015,885,2202
7,Albania,Durres,41.3230556,19.441389100000002,1715,1140,1472,2049,2654,141,2657,2035,1921,2013
8,Algeria,Algiers,36.7630556,3.0505557,12,2235,1204,1192,710,1551,2207,1169,5,2237
9,Algeria,Annaba,36.9,7.7666669000000015,2008,51,622,231,1854,1523,1239,1034,2530,1635
10,Algeria,Batna,35.555971,6.1741447,0,1776,1777,1778,1779,1780,1781,1782,1783,1784
11,Algeria,Béchar,31.616666700000003,-2.2166667,0,1776,1777,1778,1779,1780,1781,1782,1783,1784
12,Algeria,Constantine,36.365,6.6147222999999995,8,2208,1192,123,2628,2210,2197,1193,1204,1530
13,Algeria,Ghardaïa,32.4833333,3.6666667,15,1170,1657,2642,1214,2241,1942,1432,800,1225
14,Algeria,Guelma,36.466111100000006,7.433888900000001,0,1776,1777,1778,1779,1780,1781,1782,1783,1784
15,Algeria,M'Sila,36.4502778,6.2644444,13,2662,1150,2448,418,440,2121,967,929,1012
16,Algeria,Mostaganem,35.9333333,0.0902778,1772,1532,1942,1546,139,1989,1456,20,1111,1552
17,Algeria,Oran,35.6911111,-0.6416666999999999,431,1504,527,1232,1451,752,1486,1530,535,331
18,Algeria,Skikda,36.8791667,6.906666800000001,0,1775,1776,1777,1778,1779,1780,1781,1782,1783
19,Algeria,Sétif,36.1913889,5.4094444,1775,1776,1777,1778,1779,1780,1781,1782,0,1784
20,Algeria,Tlemcen,34.8783333,-1.3150001,1168,127,16,1204,2207,969,1169,1192,1097,2235
21,American Samoa,Pago Pago,-14.278055599999998,-170.7025,731,2216,2202,205,1886,2089,1628,848,739,862
22,Andorra,Andorra La Vella,42.505151399999995,1.5150618999999999,1265,1527,885,720,893,1661,1523,736,735,1278
23,Angola,Benguela,-12.5783333,13.407221799999999,1457,1559,696,2459,53,1562,1992,1590,1990,2124
24,Angola,Huambo,-12.7761111,15.7391663,0,1776,1777,1778,1779,1780,1781,1782,1783,1784
25,Angola,Luanda,-8.838333300000002,13.2344446,774,1724,2008,233,2089,1850,1628,1515,2202,2015
26,Angola,Lubango,-14.916666699999999,13.5,456,1220,1101,718,707,547,744,1518,270,1780
27,Angola,Kuito,-12.383333300000002,16.933332399999998,0,1776,1777,1778,1779,1780,1781,1782,1783,1784
28,Antigua and Barbuda,Saint John's,16.783333300000002,-62.2,2196,259,2291,1623,1051,279,270,1674,2402,48
29,Argentina,Buenos Aires,-34.5761256,-58.4088135,38,741,1082,633,639,307,1656,808,2318,44
30,Argentina,Bahía Blanca,-38.71666670000001,-62.2833328,1776,1777,1778,1779,1780,1781,1782,1783,0,1784
31,Argentina,Catamarca,-23.7333333,-65.48332979999999,0,1776,1777,1778,1779,1780,1781,1782,1783,1784
32,Argentina,Comodoro Rivadavia,-45.8666667,-67.5,0,1776,1777,1778,1779,1780,1781,1782,1783,1784
33,Argentina,Corrientes,-27.4666667,-58.8333321,378,2645,931,1860,2176,1773,1375,1772,181,695
34,Argentina,Cordoba (A),-31.4,-64.1833344,2058,2040,1577,2070,1590,1603,633,1580,712,700
35,Argentina,Formosa,-26.1833333,-58.18333440000001,0,1776,1777,1778,1779,1780,1781,1782,1783,1784
36,Argentina,La Plata,-34.931388899999995,-57.9488907,2058,326,893,2503,2310,2318,1724,102,700,2274
37,Argentina,Mar del Plata,-38.0,-57.54999920000001,2070,41,159,1589,2618,714,2049,213,1459,1472
38,Argentina,Mendoza,-32.8833333,-68.8166656,569,741,280,2018,1837,307,621,44,1855,29
39,Argentina,Morón,9.3227778,-70.60888890000003,2065,1633,1485,164,2518,2169,380,2558,2581,2647
40,Argentina,Paraná,-31.733333299999998,-60.5333328,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785
41,Argentina,Posadas,-27.383333299999997,-55.883335100000004,2069,1507,316,591,78,2165,37,715,573,344
42,Argentina,Resistencia,-27.45,-58.9833336,2089,2058,1359,800,2555,733,2105,1724,731,2254
